timestamp,price,market_cap,volume_24h,circulating_supply,price_change_24h,bullish_sentiment,bearish_sentiment
2025-03-17 03:02:08,"$83,374.17",$1.65T,$22.38B,19.83M BTC,0.66% (1d),79%,21%
2025-03-17 03:19:42,"$83,528.76",$1.65T,$22.66B,19.83M BTC,0.65% (1d),79%,21%
2025-03-17 03:45:40,"$83,495.53",$1.65T,$23.06B,19.83M BTC,0.85% (1d),79%,21%
2025-03-17 03:56:12,"$83,675.04",$1.65T,$23.16B,19.83M BTC,0.79% (1d),79%,21%
2025-03-17 04:24:02,"$83,728.83",$1.66T,$23.06B,19.83M BTC,0.77% (1d),79%,21%
2025-03-17 04:43:57,"$83,652.48",$1.65T,$23.24B,19.83M BTC,0.85% (1d),79%,21%
2025-03-17 04:56:06,"$83,551.04",$1.65T,$23.29B,19.83M BTC,0.97% (1d),79%,21%
2025-03-17 05:19:37,"$83,281.24",$1.65T,$23.25B,19.83M BTC,1.29% (1d),79%,21%
2025-03-17 05:37:24,"$83,207.46",$1.65T,$23.46B,19.83M BTC,1.40% (1d),79%,21%
2025-03-17 05:47:48,"$83,217.31",$1.65T,$23.79B,19.83M BTC,1.35% (1d),79%,21%
2025-03-17 05:58:18,"$83,167.37",$1.64T,$23.84B,19.83M BTC,1.41% (1d),79%,21%
2025-03-17 06:35:13,"$82,711.81",$1.64T,$23.59B,19.83M BTC,1.92% (1d),79%,21%
2025-03-17 06:50:58,"$83,088.47",$1.64T,$23.75B,19.83M BTC,1.40% (1d),79%,21%
2025-03-17 07:18:42,"$83,264.78",$1.65T,$24.19B,19.83M BTC,1.03% (1d),79%,21%
2025-03-17 07:32:45,"$83,330.64",$1.65T,$24.57B,19.83M BTC,1.01% (1d),79%,21%
2025-03-17 07:46:17,"$83,476.03",$1.65T,$24.62B,19.83M BTC,0.99% (1d),79%,21%
2025-03-17 07:56:49,"$83,542.58",$1.65T,$24.63B,19.83M BTC,0.88% (1d),79%,21%
2025-03-17 08:28:54,"$83,538.88",$1.65T,$24.65B,19.83M BTC,0.78% (1d),79%,21%
2025-03-17 08:47:07,"$83,616.43",$1.65T,$24.73B,19.83M BTC,0.74% (1d),79%,21%
2025-03-17 08:57:35,"$83,580.56",$1.65T,$24.77B,19.83M BTC,0.82% (1d),79%,21%
2025-03-17 09:26:13,"$83,715.77",$1.66T,$25.34B,19.83M BTC,0.40% (1d),79%,21%
2025-03-17 09:41:35,"$83,602.46",$1.65T,$25.51B,19.83M BTC,0.43% (1d),79%,21%
2025-03-17 09:56:07,"$83,635.58",$1.65T,$25.71B,19.83M BTC,0.27% (1d),79%,21%
2025-03-17 10:22:34,"$83,482.51",$1.65T,$25.6B,19.83M BTC,0.50% (1d),79%,21%
2025-03-17 10:43:42,"$83,346.64",$1.65T,$25.73B,19.83M BTC,0.47% (1d),79%,21%
2025-03-17 10:56:06,"$83,270.06",$1.65T,$25.68B,19.83M BTC,0.54% (1d),79%,21%
2025-03-17 11:16:20,"$83,428.90",$1.65T,$25.45B,19.83M BTC,0.36% (1d),79%,21%
2025-03-17 11:28:57,"$83,535.52",$1.65T,$24.84B,19.83M BTC,0.87% (1d),79%,21%
2025-03-17 11:40:40,"$83,639.28",$1.65T,$24.55B,19.83M BTC,1.34% (1d),79%,21%
2025-03-17 11:56:07,"$83,551.71",$1.65T,$24.57B,19.83M BTC,1.31% (1d),79%,21%
2025-03-17 12:40:26,"$83,257.45",$1.65T,$24.83B,19.83M BTC,0.67% (1d),79%,21%
2025-03-17 13:15:46,"$83,207.80",$1.65T,$25.34B,19.83M BTC,0.24% (1d),79%,21%
2025-03-17 13:40:48,"$83,609.89",$1.65T,$25.2B,19.83M BTC,0.75% (1d),79%,21%
2025-03-17 13:51:31,"$83,116.05",$1.64T,$25.9B,19.83M BTC,0.61% (1d),79%,21%
2025-03-17 14:19:07,"$82,585.76",$1.63T,$26.59B,19.83M BTC,0.17% (1d),79%,21%
2025-03-17 14:38:31,"$83,043.96",$1.64T,$26.73B,19.83M BTC,0.23% (1d),79%,21%
2025-03-17 14:49:20,"$83,261.61",$1.65T,$26.89B,19.83M BTC,0.44% (1d),79%,21%
2025-03-17 15:00:18,"$82,915.16",$1.64T,$27B,19.83M BTC,0.53% (1d),79%,21%
2025-03-17 15:28:28,"$83,452.24",$1.65T,$26.97B,19.83M BTC,0.38% (1d),79%,21%
2025-03-17 15:43:16,"$83,354.79",$1.65T,$27.12B,19.83M BTC,0.20% (1d),79%,21%
2025-03-17 15:56:46,"$83,652.42",$1.65T,$27.52B,19.83M BTC,0.36% (1d),79%,21%
2025-03-17 16:26:32,"$83,552.65",$1.65T,$26.06B,19.83M BTC,0.87% (1d),79%,21%
2025-03-17 16:47:35,"$83,203.93",$1.65T,$25.44B,19.83M BTC,1.03% (1d),79%,21%
2025-03-17 16:58:10,"$83,453.96",$1.65T,$25.81B,19.83M BTC,0.29% (1d),79%,21%
2025-03-17 17:22:35,"$83,878.21",$1.66T,$25.55B,19.83M BTC,0.10% (1d),79%,21%
2025-03-17 17:39:57,"$84,174.67",$1.66T,$25.93B,19.83M BTC,0.62% (1d),79%,21%
2025-03-17 17:50:18,"$84,255.25",$1.67T,$25.91B,19.83M BTC,0.70% (1d),79%,21%
2025-03-17 18:01:28,"$84,319.34",$1.67T,$25.62B,19.83M BTC,0.45% (1d),79%,21%
2025-03-17 18:35:12,"$84,241.35",$1.67T,$26.27B,19.83M BTC,0.33% (1d),79%,21%
2025-03-17 18:49:47,"$84,504.76",$1.67T,$26.16B,19.83M BTC,0.92% (1d),79%,21%
2025-03-17 19:00:08,"$84,504.97",$1.67T,$26.3B,19.83M BTC,0.97% (1d),79%,21%
